Date	ABB.ST	ATCO-A.ST	JM.ST	NCC-B.ST	NDA-SE.ST	SAAB-B.ST	SEB-A.ST	SHB-A.ST	SKA-B.ST	VOLV-B.ST
2025-01-24 00:00:00	0.00	0.01	0.01	0.01	-0.00	-0.00	-0.00	-0.01	0.00	0.01
2025-01-27 00:00:00	-0.05	-0.03	0.01	-0.00	0.00	-0.00	0.00	0.00	-0.04	-0.00
2025-01-28 00:00:00	-0.02	-0.03	-0.01	0.00	-0.00	-0.00	-0.00	0.00	-0.01	-0.02
2025-01-29 00:00:00	0.02	0.01	0.02	-0.00	-0.00	0.01	-0.04	0.01	0.02	0.08
2025-01-30 00:00:00	-0.02	0.01	0.02	0.01	0.01	0.01	0.00	-0.01	0.01	0.01
2025-01-31 00:00:00	0.00	0.01	-0.10	-0.01	-0.02	0.02	-0.01	-0.01	0.00	-0.02
2025-02-03 00:00:00	-0.02	-0.02	-0.03	-0.00	-0.01	0.01	-0.01	-0.01	-0.02	0.00
2025-02-04 00:00:00	0.00	0.01	0.03	0.00	-0.01	-0.02	0.01	0.00	0.00	-0.00
2025-02-05 00:00:00	-0.01	-0.00	-0.00	-0.00	-0.01	0.00	0.00	0.02	0.01	-0.01
2025-02-06 00:00:00	0.01	0.01	0.01	0.03	0.03	-0.05	0.03	0.01	0.02	0.02
2025-02-07 00:00:00	0.00	-0.02	-0.02	0.00	0.00	-0.06	0.00	0.01	0.06	0.00
2025-02-10 00:00:00	0.00	0.01	0.02	-0.02	-0.00	0.02	-0.00	0.00	0.01	0.00
2025-02-11 00:00:00	0.00	-0.00	-0.03	0.02	0.01	0.00	0.01	0.02	-0.00	0.01
2025-02-12 00:00:00	0.00	0.00	-0.01	0.05	0.00	-0.00	0.01	0.00	-0.00	0.00
2025-02-13 00:00:00	0.01	0.02	0.03	0.03	0.00	0.04	0.01	0.01	0.01	0.03
2025-02-14 00:00:00	-0.00	-0.01	0.01	-0.01	-0.00	0.08	0.01	0.01	0.00	0.00
2025-02-17 00:00:00	0.01	0.00	-0.02	-0.00	0.02	0.16	0.02	0.02	-0.01	0.01
2025-02-18 00:00:00	0.02	0.02	-0.00	0.00	0.01	0.01	0.01	0.00	-0.00	0.01
2025-02-19 00:00:00	-0.02	-0.03	-0.04	-0.02	-0.01	0.03	-0.01	-0.01	-0.02	-0.02
